feature,importance
country_PRT,0.08155397575481281
reservation_status_date_days_since_ref,0.06170276882521479
deposit_risk_low,0.059402738928241404
reservation_status_date_day_of_year,0.045573527198405926
has_deposit,0.0443152269189208
has_non_refund_deposit,0.04302385059220576
market_segment_online_ta,0.04115066889585908
lead_time_risk_score,0.03930040412147187
reservation_status_date_week_of_year,0.0381277628336997
reservation_status_date_day,0.03568584278442175
reservation_status_date_dayofweek,0.03481678049160082
deposit_risk_high,0.03412451875700319
is_last_minute_lead_time,0.03320975182598149
has_special_requirements,0.03081969923175232
reservation_status_date_dayofweek_sin,0.03029438742048436
special_requests_level_None,0.02849807022539521
is_advance_lead_time,0.025376080997518348
market_segment_offline_ta_to,0.024187940649083174
reservation_status_date_year,0.018309114955089315
reservation_status_date_month,0.015771215058604193
reservation_status_date_month_cos,0.01555711130946269
room_type_A,0.014760431952569373
reservation_status_date_dayofweek_cos,0.014206934457463405
reservation_status_date_month_sin,0.01342236178272728
low_risk_segment,0.01251212140422594
reservation_status_date_is_weekend,0.011651168516049734
high_risk_segment,0.011587518548668565
medium_risk_segment,0.011461793638893847
reservation_status_date_quarter,0.011168044155198422
is_normal_lead_time,0.010839567227298891
market_segment_groups,0.010801711797100164
country_other,0.010499142825524974
reservation_status_date_season,0.009115483345353021
country_GBR,0.007932585572999454
special_requests_level_Medium,0.007555264669369028
country_FRA,0.007447906305657518
market_segment_direct,0.007319187801145765
room_type_D,0.007136905571416877
country_DEU,0.004861172258984425
country_ESP,0.0045006089201517115
reservation_status_date_is_holiday_season,0.004069048931219358
reservation_status_date_is_peak_season,0.003965456977182212
room_type_E,0.0037108247788871273
country_ITA,0.0031159290643727666
market_segment_corporate,0.002673985750662687
reservation_status_date_is_month_start,0.0019764602259327354
room_type_F,0.0018379152473845409
country_IRL,0.0017026049201592835
reservation_status_date_is_month_end,0.0016148656008090987
room_type_B,0.001601886782393376
room_type_G,0.0011247809852747953
room_type_C,0.0009391820886140424
room_type_other,0.0007661216417925299
market_segment_other,0.0006377671953145071
deposit_risk_medium,0.0003578143791436509
has_refundable_deposit,0.00032400690482998367
