feature,importance
has_non_refund_deposit,0.66164124
market_segment_online_ta,0.059337176
is_last_minute_lead_time,0.05537068
country_PRT,0.041891057
has_special_requirements,0.029900493
is_normal_lead_time,0.0180995
low_risk_segment,0.013555995
country_FRA,0.012779204
is_advance_lead_time,0.011864122
room_type_A,0.01165247
reservation_status_date_year,0.0104579935
market_segment_direct,0.009899958
special_requests_level_Medium,0.009884759
reservation_status_date_dayofweek,0.009197431
reservation_status_date_month,0.00906257
country_ITA,0.008352441
reservation_status_date_month_cos,0.0074083866
reservation_status_date_month_sin,0.0067457072
room_type_E,0.0065529533
country_ESP,0.006345848
