hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,203,2016,December,49,2,2.0,5,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,F,0,No Deposit,250.0,0,Transient,66.8,0,0,Check-Out,12/9/2016
City Hotel,1,82,2015,July,29,16,0.0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,76.5,0,0,Canceled,7/16/2015
City Hotel,0,1,2016,March,11,9,0.0,1,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,94.5,0,0,Check-Out,3/10/2016
City Hotel,0,70,2017,April,16,16,2.0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,108.0,0,0,Check-Out,4/20/2017
City Hotel,0,170,2017,April,17,27,0.0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,130.5,0,0,Check-Out,4/30/2017
City Hotel,1,21,2016,March,10,4,0.0,1,2,0,0,BB,SVN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,85.0,0,0,Canceled,2/26/2016
City Hotel,0,102,2015,October,42,16,0.0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,0,Transient-Party,109.0,0,0,Check-Out,10/18/2015
Resort Hotel,0,55,2016,November,47,19,2.0,5,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,314.0,0,Transient,67.44,0,0,Check-Out,11/26/2016
Resort Hotel,0,222,2015,September,38,14,1.0,1,2,0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,68.0,0,Transient,80.0,0,0,Check-Out,9/16/2015
City Hotel,1,88,2017,February,7,17,0.0,2,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,79.2,0,0,Canceled,11/25/2016
Resort Hotel,0,79,2015,December,52,24,2.0,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,0,Transient,57.29,0,2,Check-Out,12/31/2015
City Hotel,0,41,2016,August,34,15,1.0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,0,Transient,76.5,0,0,Check-Out,8/18/2016
City Hotel,1,239,2015,October,42,17,0.0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,60.0,0,0,Canceled,8/17/2015
Resort Hotel,0,23,2017,April,16,20,0.0,2,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,94.5,0,0,Check-Out,4/22/2017
Resort Hotel,0,34,2016,December,50,9,0.0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0,Transient,48.0,0,1,Check-Out,12/10/2016
City Hotel,1,38,2016,May,19,6,2.0,3,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,149.68,0,0,Canceled,5/1/2016
City Hotel,0,160,2017,July,28,15,2.0,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,78.35,0,1,Check-Out,7/22/2017
Resort Hotel,0,32,2016,October,44,27,2.0,5,2,0,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,94.5,0,0,Check-Out,11/3/2016
Resort Hotel,0,56,2016,March,14,29,0.0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,58.0,0,1,Check-Out,4/2/2016
City Hotel,1,97,2015,October,41,5,1.0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,0,Transient,140.0,0,0,Canceled,7/3/2015
Resort Hotel,0,85,2017,April,16,19,1.0,4,2,0,0,BB,USA,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,0,Transient-Party,74.6,0,1,Check-Out,4/24/2017
City Hotel,0,278,2017,July,30,26,0.0,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,165.6,0,2,Check-Out,7/30/2017
City Hotel,1,175,2016,August,33,10,0.0,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,99.45,0,0,Canceled,3/1/2016
City Hotel,1,26,2017,May,21,22,1.0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,0,Transient,128.0,0,0,Canceled,4/26/2017
City Hotel,1,360,2015,October,42,12,1.0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Contract,62.0,0,0,Canceled,1/1/2015
Resort Hotel,1,374,2016,November,45,1,0.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,248.0,0,Transient,94.5,0,0,Canceled,10/18/2016
City Hotel,0,32,2016,January,5,24,2.0,1,2,0,0,BB,ARG,Corporate,Corporate,0,0,0,A,A,0,No Deposit,38.0,0,Transient-Party,64.0,0,0,Check-Out,1/27/2016
City Hotel,0,4,2015,August,35,25,0.0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient-Party,62.0,0,0,Check-Out,8/29/2015
City Hotel,1,179,2016,July,27,1,0.0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,65.0,0,0,Canceled,5/10/2016
