is_canceled,lead_time,country,market_segment,assigned_room_type,deposit_type,total_of_special_requests,reservation_status_date
0,203,GBR,Direct,F,No Deposit,0,2016-12-09
1,82,PRT,Online TA,A,No Deposit,0,2015-07-16
0,25,BRA,Offline TA/TO,K,No Deposit,1,2016-12-30
0,1,SWE,Online TA,A,No Deposit,0,2016-03-10
0,70,GBR,Online TA,A,No Deposit,0,2017-04-20
0,170,DEU,Online TA,D,No Deposit,0,2017-04-30
1,21,OTHER,Online TA,A,No Deposit,0,2016-02-26
0,102,DEU,Offline TA/TO,D,No Deposit,0,2015-10-18
0,55,GBR,Online TA,D,No Deposit,0,2016-11-26
0,222,ESP,Groups,A,No Deposit,0,2015-09-16
0,120,BEL,Online TA,D,No Deposit,2,2016-12-30
1,88,DEU,Online TA,A,No Deposit,0,2016-11-25
0,79,GBR,Offline TA/TO,A,No Deposit,2,2015-12-31
0,41,PRT,Offline TA/TO,A,No Deposit,0,2016-08-18
1,239,PRT,Groups,A,Non Refund,0,2015-08-17
0,23,GBR,Groups,A,No Deposit,0,2017-04-22
0,34,PRT,Online TA,D,No Deposit,1,2016-12-10
1,38,FRA,Online TA,A,No Deposit,0,2016-05-01
0,160,FRA,Online TA,A,No Deposit,1,2017-07-22
0,32,FRA,Direct,F,No Deposit,0,2016-11-03
0,56,PRT,Online TA,A,No Deposit,1,2016-04-02
1,97,PRT,Groups,A,Non Refund,0,2015-07-03
0,85,USA,Direct,E,No Deposit,1,2017-04-24
0,278,DEU,Online TA,D,No Deposit,2,2017-07-30
1,175,GBR,Online TA,A,No Deposit,0,2016-03-01
1,26,PRT,Offline TA/TO,A,Non Refund,0,2017-04-26
1,360,PRT,Groups,A,Non Refund,0,2015-01-01
1,374,PRT,Groups,A,Non Refund,0,2016-10-18
0,32,ARG,Corporate,A,No Deposit,0,2016-01-27
0,165,PRT,Groups,A,No Deposit,0,2016-01-03
0,4,PRT,Groups,A,No Deposit,0,2015-08-29
1,179,PRT,Groups,A,Non Refund,0,2016-05-10
0,349,DEU,Offline TA/TO,A,No Deposit,0,2016-10-10
0,47,NLD,Online TA,D,No Deposit,0,2016-02-21
0,237,DEU,Online TA,A,No Deposit,0,2015-09-17
0,31,OTHER,Online TA,D,No Deposit,0,2016-09-28
0,158,BEL,Online TA,F,No Deposit,1,2016-07-04
